StopID,x,y,Bench,Shelter,routes,Direction,Pole_Locat,Sidewalk,Trans_P
02880,1445865.240905508399010,566438.645202502608299, , ,7,inbound,forward facing edge of pavement, , 
45044,1450311.963967427611351,541744.742818757891655, , ,17,outbound, ,sidewalk,transfer point
45378,1446116.485153675079346,585589.468449339270592, , ,"53x, 7",outbound,forward facing back of curb,sidewalk, 
39550,1460433.079551920294762,549401.643843501806259, , ,23,outbound,forward facing back of curb,sidewalk,transfer point
11040,1438699.070854678750038,545867.478995844721794,Bench, ,34,inbound,forward facing back of curb,sidewalk, 
29930,1439217.030120596289635,516137.136553749442101, ,Shelter,12,inbound,forward facing back of sidewalk,sidewalk, 
45170,1484484.090833008289337,535328.585703581571579, , ,3,outbound,forward facing back of sidewalk,sidewalk, 
06010,1438853.250992506742477,531699.860349506139755, , ,30,inbound,forward facing back of sidewalk,sidewalk, 
46558,1409581.178959339857101,548472.119127750396729, , ,35,outbound,forward facing back of curb, , 
39730,1449811.048302590847015,555030.518412500619888,Bench, ,3,inbound,forward facing back of sidewalk,sidewalk,transfer point
52080,1410550.955891177058220,512443.739741086959839, , ,55,inbound,forward facing back of curb, , 
44290,1476269.431409344077110,576755.717744171619415, , ,"50, 54",not applicable,forward facing back of sidewalk, , 
59840,1455353.233412429690361,552546.777645096182823, , ,22, , , , 
46134,1432996.086525753140450,541724.381967082619667, , ,235,outbound,forward facing back of sidewalk,sidewalk, 
31520,1467564.263452261686325,550234.358385428786278, , ,3,inbound,rear facing back of curb,sidewalk, 
46522,1445986.555951595306396,585196.942659586668015, , ,7,inbound,forward facing edge of pavement, , 
20780,1446852.082763835787773,523032.554521426558495, , ,19,inbound,forward facing back of sidewalk,sidewalk, 
46497,1445110.230276420712471,642657.916976258158684, , ,"77x, 99",not applicable,forward facing back of curb,sidewalk, 
34500,1433061.257655262947083,537322.607634171843529, , ,10,inbound,forward facing back of sidewalk,sidewalk, 
09390,1466048.064056843519211,547273.523427844047546, , ,23,outbound,forward facing edge of pavement,sidewalk, 
