StopID,Bench,Shelter,routes,Direction,Pole_Locat,Sidewalk,Trans_P,x,y
00040, , ,4,inbound,rear facing back of curb,sidewalk,transfer point,1453640.037355759646744,543459.971015580696985
00120, , ,"235, 60",outbound,forward facing back of curb,sidewalk, ,1424129.179710917640477,535050.108242158894427
00126, , ,"235, 60",inbound,forward facing back of curb,sidewalk, ,1423808.589144757948816,536202.612170754931867
00127, , ,"235, 60",outbound,forward facing back of curb,sidewalk, ,1423858.259649089537561,536575.487737336661667
00140, , ,"235, 60",inbound,forward facing edge of pavement, , ,1424115.110841430723667,535017.984618740156293
00160,Bench, ,"221, 9",inbound,forward facing back of sidewalk,sidewalk, ,1477221.394720501499251,534317.210757828550413
00170, ,Shelter,"221, 40x, 46x, 9",inbound,forward facing back of sidewalk,sidewalk, ,1479217.105952167185023,533500.945986160542816
00180, ,Shelter,"221, 40x, 46x, 9",outbound,forward facing back of curb,sidewalk, ,1479323.171684927074239,533416.090840909746476
00183, , ,50,not applicable,other,sidewalk, ,1471247.415198676288128,573835.031328323064372
00200, , ,22,inbound,forward facing back of curb, , ,1460865.092131337383762,561616.090871267486364
00210, ,Shelter,"221, 40x, 46x, 9",inbound,forward facing back of sidewalk,sidewalk, ,1480939.182888587936759,533380.840255266870372
00230, , ,"221, 40x, 46x, 9",outbound,rear facing back of sidewalk,sidewalk, ,1481775.994207091862336,533242.078393657691777
00240, , ,"221, 40x, 46x, 9",inbound,forward facing back of sidewalk,sidewalk, ,1481575.018559179734439,533332.952227651956491
00250, , ,"221, 40x, 46x, 9",outbound,forward facing back of sidewalk,sidewalk, ,1482849.079659332986921,533134.162599004688673
00260, ,Shelter,"221, 40x, 46x, 9",inbound,forward facing back of sidewalk,sidewalk, ,1482855.115408428478986,533206.128990498022176
00270, ,Shelter,"221, 40x, 46x, 9",inbound,forward facing back of sidewalk,sidewalk,transfer point,1483789.954746088013053,533102.842779749887995
00280, , ,221,outbound,forward facing back of sidewalk,sidewalk,transfer point,1483650.004566675284877,533044.128330245846882
00285,Bench, ,"3, 40x, 46x, 9",not applicable,forward facing back of curb,sidewalk,transfer point,1484957.241125430911779,533635.820716421352699
00300, , ,46x,outbound,forward facing back of sidewalk,sidewalk, ,1486746.125342925544828,533957.513970667030662
00320, , ,46x,outbound,forward facing back of sidewalk,sidewalk, ,1489658.127064846223220,534998.875733090913855
00330, , ,46x,outbound,forward facing back of sidewalk,sidewalk, ,1492398.983459761831909,535845.071547245606780
