VARIABLENAME,VARIABLEDESCRIPTION,DATAFILE
AADT,ANNUAL AVERAGE DAILY TRAFFIC,Roadway
BARRIER,BARRIER,Roadway
DIVIDED,DIVIDED,Roadway
LL_ADD,LOWER LEFT ADDRESS,Roadway
LR_ADD,LOWER RIGHT ADDRESS,Roadway
MEDIAN,MEDIAN,Roadway
NUMBEROFLA,NUMBER OF LANES,Roadway
ONEWAY,ONEWAY,Roadway
PAVEMENTWI,PAVEMENT WIDTH,Roadway
RODWYCLS,ROADWAY CLASS,Roadway
ROADTYPE,ROAD TYPE,Roadway
LENGTH,SEGMENT LENGTH,Roadway
SPEEDHUMP,SPEED HUMP,Roadway
SPEEDLIMIT,SPEED LIMIT,Roadway
STANDTYPE,STAND TYPE,Roadway
STREETCLAS,STREET CLASSIFICATION,Roadway
STREETNAME,STREET NAME,Roadway
STREETTYPE,STREET TYPE,Roadway
SUFFIX,SUFFIX DIRECTION,Roadway
THOROUGHFA,THOROUGH FARE,Roadway
UL_ADD,UPPER LEFT ADDRESS,Roadway
UR_ADD,UPPER RIGHT ADDRESS,Roadway
WHOLESTNAME,WHOLE STREET NAME,Roadway
ALIGN,ALIGNMENT,Crash
CASE_NUM,CASE NUMBER,Crash
CNST_ACT,CONSTRUCTION ACTIVITY,Crash
CNST_TYPE,CONSTRUCTION TYPE,Crash
CRSH_ID,CRASH ID,Crash
CRSH_LEVL,CRASH SEVERITY,Crash
MILT_TIME,CRASH TIME,Crash
CRASH_TYPE,CRASH TYPE,Crash
DATE_VAL,DATE OF CRASH,Crash
DATE_VAL_D,DAY OF THE CRASH,Crash
DATE_VAL_W,DAY OF WEEK,Crash
LATITUDE,LATITUDE,Crash
LIT,LIGHT CONDITION,Crash
LONGITUDE,LONGITUDE,Crash
DATE_VAL_M,MONTH OF CRASH,Crash
NARRATIVE,NARRATIVE,Crash
NUM_FATL,NUMBER OF FATALITIES,Crash
NUM_INJY,NUMBER OF INJURIES,Crash
NUM_LNS,NUMBER OF LANES,Crash
NUM_INJY_C,NUMBER OF POSSIBLE INJURIES,Crash
NUM_INJY_B,NUMBER OF SUSPECTED MINOR INJURIES,Crash
NUM_INJY_A,NUMBER OF SUSPECTED SERIOUS INJURIES,Crash
PRIMARY,PRIMARY CAUSE,Crash
RD_RLTN,RELATION TO ROADWAY,Crash
RD_COND,ROAD CONDITION,Crash
RD_SURF,,Crash
RDWY_AREA,ROADWAY AREA,Crash
